"Relatório de Faturamento"
Período;"2026-01-01 a 2026-12-31"
"Base temporal";due
Cliente;Todos
Status;Todos

Cliente;Documento;Descrição;Emissão;Vencimento;Status;"Valor Original";Juros;"Valor Atualizado";"Valor Pago"
"Sra. Naiara Marés Ferreira";404.559.162-01;"Quis aliquid id in laborum eos.";11/12/2025;01/01/2026;Pago;6.182,18;0,00;6.182,18;5.764,99
"Marco Andres Dias";158.393.816-93;"Et reprehenderit qui.";06/11/2025;01/01/2026;Pago;18.176,59;0,00;18.176,59;18.608,06
"Pedro Benez da Silva Neto";864.103.245-11;"Similique modi incidunt minus accusantium.";13/12/2025;01/01/2026;Pago;1.083,87;0,00;1.083,87;19.280,23
"Camilo Velasques Caldeira";802.041.164-38;"Voluptatem mollitia debitis deleniti.";21/11/2025;01/01/2026;Pago;11.189,03;0,00;11.189,03;1.974,87
"Dr. Fábio Santiago";585.325.884-37;"Neque deserunt exercitationem.";16/12/2025;01/01/2026;Pago;1.290,86;0,00;1.290,86;16.428,91
"Luan Faro";721.888.440-27;"Nesciunt cupiditate in error.";23/11/2025;01/01/2026;Pago;11.954,40;0,00;11.954,40;3.866,10
"Valentin Emanuel Bezerra Filho";388.135.562-17;"Est hic dignissimos nulla.";06/11/2025;01/01/2026;Pago;17.227,20;0,00;17.227,20;19.762,74
"Christian Bruno Guerra";773.743.249-41;"Velit vel repellat.";26/11/2025;01/01/2026;Pago;10.986,56;0,00;10.986,56;4.277,87
"Clara Mendonça Marinho Neto";380.116.598-86;"Quibusdam rerum autem et odio.";03/11/2025;01/01/2026;Pago;6.417,31;0,00;6.417,31;13.657,05
"Sarah Faro Romero";215.700.653-26;"Et aut corporis.";29/11/2025;01/01/2026;Pago;11.654,29;0,00;11.654,29;18.841,10
"Natal Carlos Rangel Filho";592.825.086-19;"Est ratione amet.";05/12/2025;01/01/2026;Pago;6.493,58;0,00;6.493,58;6.032,02
"Srta. Ester Maiara Rangel Neto";292.602.170-18;"Atque optio a culpa.";06/12/2025;01/01/2026;Pago;13.529,69;0,00;13.529,69;8.916,62
"Wellington Victor Cordeiro Filho";235.159.005-02;"Odio repellat aspernatur nemo sed.";13/12/2025;01/01/2026;Pago;18.989,18;0,00;18.989,18;5.418,67
"Dr. Eunice Stefany Fontes";218.725.224-37;"Officiis et nesciunt.";20/11/2025;01/01/2026;Pago;19.354,81;0,00;19.354,81;2.581,10
"Dr. Rogério de Freitas";492.957.973-05;"Dolore consequatur hic reiciendis.";07/11/2025;01/01/2026;Pago;15.053,39;0,00;15.053,39;12.715,42
"Ivan Danilo Burgos Sobrinho";229.160.307-31;"Soluta molestiae aut.";03/11/2025;01/01/2026;Pago;12.734,44;0,00;12.734,44;16.241,41
"Micaela Suelen Zambrano Jr.";657.075.131-79;"Accusantium et dolores et quidem.";08/11/2025;01/01/2026;Pago;7.859,16;0,00;7.859,16;10.058,00
"Dr. Natal Saito Leal";306.153.126-80;"Ipsam voluptates quo sed et.";24/11/2025;01/01/2026;Pago;10.485,34;0,00;10.485,34;3.567,42
"Dr. Davi Franco Estrada";179.551.453-43;"Non doloribus ut quia quia.";27/11/2025;01/01/2026;Pago;6.180,24;0,00;6.180,24;9.894,95
"Sr. Robson Ortiz Queirós";028.504.373-61;"Facere rerum odit quo omnis.";22/11/2025;01/01/2026;Pago;3.617,33;0,00;3.617,33;2.110,55
"Dr. Graziela Stefany Gomes Filho";694.402.028-60;"Mollitia cum sint.";08/12/2025;01/01/2026;Pago;9.188,88;0,00;9.188,88;15.630,18
"Dr. Paola Denise Maia";691.425.793-39;"Qui aut id unde.";26/11/2025;01/01/2026;Pago;14.000,45;0,00;14.000,45;12.320,71
"Dr. Maiara Sandoval";255.756.447-11;"Veritatis quia sequi est nobis similique.";07/12/2025;01/01/2026;Pago;4.575,18;0,00;4.575,18;18.965,87
"Inácio Correia Camacho Jr.";738.719.166-34;"Aut quia quam voluptas cumque.";09/11/2025;01/01/2026;Pago;16.379,09;0,00;16.379,09;17.558,20
"Alessandro Grego Estrada";127.151.370-95;"Quos excepturi et similique asperiores.";04/11/2025;01/01/2026;Pago;2.269,73;0,00;2.269,73;3.543,80
"Laura Analu Saraiva";100.857.679-30;"Voluptas sunt quasi natus sint.";19/11/2025;01/01/2026;Pago;9.588,26;0,00;9.588,26;13.067,07
"Srta. Julieta Suelen Solano";871.797.752-75;"Eius illum eveniet itaque provident.";14/11/2025;01/01/2026;Pago;12.437,09;0,00;12.437,09;9.463,19
"Srta. Luzia Paes Gomes Sobrinho";663.656.925-65;"Iusto delectus similique.";11/12/2025;01/01/2026;Pago;7.815,35;0,00;7.815,35;12.384,39
"Agatha Cristina Amaral Neto";801.618.190-20;"Ut quo debitis aut.";19/11/2025;01/01/2026;Pago;12.083,49;0,00;12.083,49;17.572,86
